order_no,item_name,order_time
007D23010300007407,62 ( noms snack 2000 ),1/3/2023 19:47
007D23010300007408,AIR MINERAL RON 88,1/3/2023 19:51
007D23010300007409,KOPI ,1/3/2023 20:21
007D23010300007410,KOPI ,1/3/2023 20:24
007D23010300007411,KOPI ,1/3/2023 20:35
007D23010300007411,Milk Tea ,1/3/2023 20:35
007D23010300007412,TAHU ,1/3/2023 21:06
007D23010300007413,New Lemon tea ,1/3/2023 21:07
007D23010300007414,Chocolate Malt ,1/3/2023 21:08
007D23010300007416,KOPI ,1/3/2023 21:18
007D23010300007416,KOPI ,1/3/2023 21:18
007D23010300007417,KOPI ,1/3/2023 21:45
007D23010300007418,JERUK ,1/3/2023 21:53
007D23010300007419,KOPI ,1/3/2023 21:55
007D23010300007420,KOPI ,1/3/2023 22:00
007D23010300007420,Chocolate Malt ,1/3/2023 22:00
007D23010300007420,KENTANG ,1/3/2023 22:00
007D23010300007420,TAHU ,1/3/2023 22:00
007D23010300007421,TEH ,1/3/2023 22:01
007D23010300007422,KOPI ,1/3/2023 22:12
007D23010300007422,KENTANG ,1/3/2023 22:12
007D23010300007423,TEH ,1/3/2023 22:13
007D23010300007424,TAHU ,1/3/2023 23:26
007D23010300007424,PANGSIT GORENG ,1/3/2023 23:26
007D23010300007424,DANCOW COKLAT ,1/3/2023 23:26
007D23010300007424,KENTANG ,1/3/2023 23:26
007D23010300007425,KOPI ,1/3/2023 23:42
007D23010300007425,SINGKONG KEJU ,1/3/2023 23:42
007D23010300007426,JAHE ,1/3/2023 23:49
007D23010300007426,KOPI ,1/3/2023 23:49
007D23010300007426,CIRENG ,1/3/2023 23:49
007D23010300007426,TAHU ,1/3/2023 23:49
007D23010400007427,JAHE ,1/4/2023 3:22
007D23010400007427,TAHU ,1/4/2023 3:22
007D23010400007428,KOPI ,1/4/2023 7:09
007D23010400007429,KOPI ,1/4/2023 7:40
007D23010400007430,KOPI ,1/4/2023 8:20
007D23010400007431,KOPI ,1/4/2023 9:27
007D23010400007432,KOPI ,1/4/2023 10:38
007D23010400007432,Bolu kukus,1/4/2023 10:38
007D23010400007432,KOPI ,1/4/2023 10:38
007D23010400007433,TEH ,1/4/2023 10:41
007D23010400007433,AROMA BOLD 12,1/4/2023 10:41
007D23010400007433,COFFE BEER RTD ,1/4/2023 10:41
007D23010400007434,KOPI ,1/4/2023 10:44
007D23010400007434,CIRENG ,1/4/2023 10:44
007D23010400007435,KOPI ,1/4/2023 11:07
007D23010400007435,AIR MINERAL RON 88,1/4/2023 11:07
007D23010400007435,SINGKONG KEJU ,1/4/2023 11:07
007D23010400007436,KOPI ,1/4/2023 11:28
007D23010400007437,KOPI ,1/4/2023 11:32
007D23010400007437,KOPI ,1/4/2023 11:32
007D23010400007437,Lychee Tea ,1/4/2023 11:32
007D23010400007437,PISANG GORENG CRISPY ,1/4/2023 11:32
007D23010400007438,Cappucino Latte ,1/4/2023 11:38
007D23010400007439,KOPI ,1/4/2023 12:23
007D23010400007439,PISANG GORENG CRISPY ,1/4/2023 12:23
007D23010400007440,62 ( noms snack 2000 ),1/4/2023 12:36
007D23010400007441,CIRENG ,1/4/2023 12:37
007D23010400007441,New Red Velvet ,1/4/2023 12:37
007D23010400007442,KOPI ,1/4/2023 12:39
007D23010400007442,KOPI ,1/4/2023 12:39
007D23010400007443,KOPI ,1/4/2023 12:41
007D23010400007443,NUGGET ,1/4/2023 12:41
007D23010400007444,SODA GEMBIRA ,1/4/2023 14:29
007D23010400007444,DANCOW COKLAT ,1/4/2023 14:29
007D23010400007444,CIRENG ,1/4/2023 14:29
007D23010400007445,KOPI ,1/4/2023 14:51
007D23010400007446,Aroma Mile 16,1/4/2023 14:55
007D23010400007447,SODA GEMBIRA ,1/4/2023 16:07
007D23010400007448,Aroma Mile 16,1/4/2023 16:42
007D23010400007450,Royal Chocolate ,1/4/2023 16:51
007D23010400007450,KOPI ,1/4/2023 16:51
007D23010400007451,KOPI ,1/4/2023 18:11
007D23010400007453,KOPI ,1/4/2023 20:09
007D23010400007453,SINGKONG KEJU ,1/4/2023 20:09
007D23010400007454,KOPI ,1/4/2023 20:21
007D23010400007454,SODA GEMBIRA ,1/4/2023 20:21
007D23010400007455,KENTANG ,1/4/2023 20:25
007D23010400007455,CIRENG ,1/4/2023 20:25
007D23010400007455,Taro ,1/4/2023 20:25
007D23010400007456,KOPI ,1/4/2023 20:44
007D23010400007457,KOPI ,1/4/2023 20:45
007D23010400007458,Cappucino Latte ,1/4/2023 21:10
007D23010400007458,JERUK ,1/4/2023 21:10
007D23010400007459,COFFE BEER RTD ,1/4/2023 21:25
007D23010400007460,KOPI ,1/4/2023 22:16
007D23010400007461,KENTANG ,1/4/2023 23:03
007D23010400007461,KOPI ,1/4/2023 23:03
007D23010400007461,Cappucino Latte ,1/4/2023 23:03
007D23010400007462,KOPI ,1/4/2023 23:06
007D23010400007463,CIRENG ,1/4/2023 23:31
007D23010500007464,KOPI ,1/5/2023 0:08
007D23010500007464,TAHU ,1/5/2023 0:08
007D23010500007464,KENTANG ,1/5/2023 0:08
007D23010500007465,SUSU PUTIH ,1/5/2023 0:14
007D23010500007465,KOPI ,1/5/2023 0:14
007D23010500007465,KENTANG ,1/5/2023 0:14
007D23010500007465,TAHU ,1/5/2023 0:14
007D23010500007465,PANGSIT GORENG ,1/5/2023 0:14
007D23010500007466,Royal Chocolate ,1/5/2023 0:35
007D23010500007466,KOPI ,1/5/2023 0:35
007D23010500007467,KOPI ,1/5/2023 7:09
007D23010500007467,PISANG GORENG CRISPY ,1/5/2023 7:09
007D23010500007468,KOPI ,1/5/2023 7:16
007D23010500007469,KOPI ,1/5/2023 8:09
007D23010500007469,KOPI ,1/5/2023 8:09
007D23010500007469,TAHU ,1/5/2023 8:09
