order no,item name,,order time,item group,qty
007D23010300007389,Ready Eat ,,1/3/2023 13:31,MAKANAN,3
007D23010300007389,Ready Eat ,,1/3/2023 13:31,MAKANAN,2
007D23010300007389,KOPI , SUSU ,1/3/2023 13:31,KLOTOK SERIES,2
007D23010300007389,KOPI REMPAH ,,1/3/2023 13:31,KLOTOK SERIES,1
007D23010300007389,SODA GEMBIRA ,,1/3/2023 13:31,MINUMAN,2
007D23010300007389,TEH ,,1/3/2023 13:31,MINUMAN,1
007D23010300007389,JERUK ,,1/3/2023 13:31,MINUMAN,1
007D23010300007389,Cappucino Latte ,,1/3/2023 13:31,TROPICAL SERIES,1
007D23010300007389,KOPI , COKLAT ,1/3/2023 13:31,KLOTOK SERIES,1
007D23010300007389,JAHE , SUSU ,1/3/2023 13:31,MINUMAN,1
007D23010300007391,Bintang Redler Lemon ,,1/3/2023 13:45,MINUMAN,1
007D23010300007391,COFFE BEER RTD ,,1/3/2023 13:45,MINUMAN,1
007D23010300007391,AIR MINERAL RON 88,,1/3/2023 13:45,BOTOL,1
007D23010300007391,CIRENG ,,1/3/2023 13:45,SNACK,1
007D23010300007391,PISANG GORENG CRISPY ,,1/3/2023 13:45,SNACK,1
007D23010300007392,NASI GORENG ,,1/3/2023 14:21,MAKANAN,1
007D23010300007393,TEH ,,1/3/2023 14:25,MINUMAN,1
007D23010300007393,Royal Chocolate ,,1/3/2023 14:25,TROPICAL SERIES,1
007D23010300007393,KENTANG ,,1/3/2023 14:25,SNACK,1
007D23010300007394,KOPI ,,1/3/2023 15:40,KLOTOK SERIES,1
007D23010300007394,KOPI , SANTAN ,1/3/2023 15:40,KLOTOK SERIES,1
007D23010300007394,AIR MINERAL RON 88,,1/3/2023 15:40,BOTOL,1
007D23010300007394,SINGKONG KEJU ,,1/3/2023 15:40,SNACK,1
007D23010300007395,Aroma Mile 16,,1/3/2023 15:42,ROKOK,1
007D23010300007396,AROMA BOLD 12,,1/3/2023 15:43,ROKOK,1
007D23010300007396,AIR MINERAL RON 88,,1/3/2023 15:43,BOTOL,1
007D23010300007397,62 ( noms snack 2000 ),,1/3/2023 16:17,SNACK,2
007D23010300007398,TEH ,,1/3/2023 16:57,MINUMAN,1
007D23010300007398,62 ( noms snack 2000 ),,1/3/2023 16:57,SNACK,2
007D23010300007399,JOSUA ,,1/3/2023 17:10,MINUMAN,1
007D23010300007399,AIR MINERAL RON 88,,1/3/2023 17:10,BOTOL,1
007D23010300007400,PANGSIT GORENG ,,1/3/2023 17:32,SNACK,1
007D23010300007400,SUSU SIRUP ,,1/3/2023 17:32,MINUMAN,1
007D23010300007400,CIRENG ,,1/3/2023 17:32,SNACK,1
007D23010300007400,AIR MINERAL RON 88,,1/3/2023 17:32,BOTOL,1
007D23010300007401,Bintang CRYSTAL ,,1/3/2023 17:33,MINUMAN,1
007D23010300007402,KOPI , COKLAT ,1/3/2023 17:48,KLOTOK SERIES,3
007D23010300007402,KOPI , SUSU ,1/3/2023 17:48,KLOTOK SERIES,1
007D23010300007402,KENTANG ,,1/3/2023 17:48,SNACK,1
007D23010300007402,CIRENG ,,1/3/2023 17:48,SNACK,1
007D23010300007403,SINGKONG KEJU ,,1/3/2023 18:19,SNACK,1
007D23010300007403,AIR MINERAL RON 88,,1/3/2023 18:19,BOTOL,1
007D23010300007404,New Red Velvet ,,1/3/2023 18:38,TROPICAL SERIES,1
007D23010300007404,CIRENG ,,1/3/2023 18:38,SNACK,1
007D23010300007405,KOPI , TANPA AMPAS ,1/3/2023 18:39,KLOTOK SERIES,1
007D23010300007406,KOPI , TANPA AMPAS ,1/3/2023 18:57,KLOTOK SERIES,1
007D23010300007407,62 ( noms snack 2000 ),,1/3/2023 19:47,SNACK,2
007D23010300007408,AIR MINERAL RON 88,,1/3/2023 19:51,BOTOL,1
007D23010300007409,KOPI , TANPA AMPAS ,1/3/2023 20:21,KLOTOK SERIES,2
007D23010300007410,KOPI , CREAMER ,1/3/2023 20:24,KLOTOK SERIES,1
007D23010300007411,KOPI , TANPA AMPAS ,1/3/2023 20:35,KLOTOK SERIES,2
007D23010300007411,Milk Tea ,,1/3/2023 20:35,TROPICAL SERIES,2
007D23010300007412,TAHU , BAKSO ,1/3/2023 21:06,MAKANAN,1
007D23010300007413,New Lemon tea ,,1/3/2023 21:07,TROPICAL SERIES,1
007D23010300007414,Chocolate Malt ,,1/3/2023 21:08,TROPICAL SERIES,2
007D23010300007416,KOPI MILO ,,1/3/2023 21:18,KLOTOK SERIES,1
007D23010300007416,KOPI , COKLAT ,1/3/2023 21:18,KLOTOK SERIES,1
007D23010300007417,KOPI , SUSU ,1/3/2023 21:45,KLOTOK SERIES,2
007D23010300007418,JERUK ,,1/3/2023 21:53,MINUMAN,2
007D23010300007419,KOPI , SUSU ,1/3/2023 21:55,KLOTOK SERIES,1
007D23010300007420,KOPI , TANPA AMPAS ,1/3/2023 22:00,KLOTOK SERIES,1
007D23010300007420,Chocolate Malt ,,1/3/2023 22:00,TROPICAL SERIES,1
007D23010300007420,KENTANG ,,1/3/2023 22:00,SNACK,1
007D23010300007420,TAHU , BAKSO ,1/3/2023 22:00,MAKANAN,1
007D23010300007421,TEH ,,1/3/2023 22:01,MINUMAN,1
007D23010300007422,KOPI ,,1/3/2023 22:12,KLOTOK SERIES,2
007D23010300007422,KENTANG ,,1/3/2023 22:12,SNACK,1
007D23010300007423,TEH ,,1/3/2023 22:13,MINUMAN,2
007D23010300007424,TAHU , WALIK ,1/3/2023 23:26,SNACK,1
007D23010300007424,PANGSIT GORENG ,,1/3/2023 23:26,SNACK,1
007D23010300007424,DANCOW COKLAT ,,1/3/2023 23:26,MINUMAN,2
007D23010300007424,KENTANG ,,1/3/2023 23:26,SNACK,1
007D23010300007425,KOPI ,,1/3/2023 23:42,KLOTOK SERIES,2
007D23010300007425,SINGKONG KEJU ,,1/3/2023 23:42,SNACK,1
007D23010300007426,JAHE , SUSU ,1/3/2023 23:49,MINUMAN,1
007D23010300007426,KOPI , SUSU ,1/3/2023 23:49,KLOTOK SERIES,1
007D23010300007426,CIRENG ,,1/3/2023 23:49,SNACK,1
007D23010300007426,TAHU , WALIK ,1/3/2023 23:49,SNACK,1
007D23010400007427,JAHE , SUSU ,1/4/2023 3:22,MINUMAN,1
007D23010400007427,TAHU , WALIK ,1/4/2023 3:22,SNACK,1
007D23010400007428,KOPI , TANPA AMPAS ,1/4/2023 7:09,KLOTOK SERIES,1
007D23010400007429,KOPI , SUSU ,1/4/2023 7:40,KLOTOK SERIES,1
007D23010400007430,KOPI , COKLAT ,1/4/2023 8:20,KLOTOK SERIES,1
007D23010400007431,KOPI , SUSU ,1/4/2023 9:27,KLOTOK SERIES,1
007D23010400007432,KOPI MILO ,,1/4/2023 10:38,KLOTOK SERIES,1
007D23010400007432,Bolu kukus,,1/4/2023 10:38,SNACK,2
007D23010400007432,KOPI , TANPA AMPAS ,1/4/2023 10:38,KLOTOK SERIES,1
007D23010400007433,TEH ,,1/4/2023 10:41,MINUMAN,1
007D23010400007433,AROMA BOLD 12,,1/4/2023 10:41,ROKOK,1
007D23010400007433,COFFE BEER RTD ,,1/4/2023 10:41,MINUMAN,1
007D23010400007434,KOPI , TANPA AMPAS ,1/4/2023 10:44,KLOTOK SERIES,1
007D23010400007434,CIRENG ,,1/4/2023 10:44,SNACK,1
007D23010400007435,KOPI , SUSU ,1/4/2023 11:07,KLOTOK SERIES,1
007D23010400007435,AIR MINERAL RON 88,,1/4/2023 11:07,BOTOL,1
007D23010400007435,SINGKONG KEJU ,,1/4/2023 11:07,SNACK,1
007D23010400007436,KOPI , TANPA AMPAS ,1/4/2023 11:28,KLOTOK SERIES,1
007D23010400007437,KOPI , COKLAT ,1/4/2023 11:32,KLOTOK SERIES,2
007D23010400007437,KOPI , SUSU ,1/4/2023 11:32,KLOTOK SERIES,1
007D23010400007437,Lychee Tea ,,1/4/2023 11:32,TROPICAL SERIES,1
007D23010400007437,PISANG GORENG CRISPY ,,1/4/2023 11:32,SNACK,1
007D23010400007438,Cappucino Latte ,,1/4/2023 11:38,TROPICAL SERIES,1
007D23010400007439,KOPI , COKLAT ,1/4/2023 12:23,KLOTOK SERIES,2
007D23010400007439,PISANG GORENG CRISPY ,,1/4/2023 12:23,SNACK,1
007D23010400007440,62 ( noms snack 2000 ),,1/4/2023 12:36,SNACK,5
